partname,partsite,unitofmeasure,factor,integration_id,execution_id,workflow_execution_id,create_timestamp,last_updated_timestamp,record_key_hash
BA020718,THE_TESALIA_30001,CS,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,a5a3655c5753adb47285923f43fd72c2b54e7772fef96317c2bd03bdf94f5c3c
BA023399,PEPSICOLA_PUERTO_RICO_66336,PAL,0.008547008547008548,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,fa39b1db4de3540b8fb91dd0f4fd7851745dd36b2d1ca742bf9ebf6db1e5de02
BA004224,CBC_PERUANA_66339,UN,15,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,49832bccd7022f5ad6df464c1118aae1c047e67224f5c2f9c50a948c5b4d3d5a
BA000783,THE_TESALIA_30001,PAL,0.023809523809523808,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,e3e897d6147b2101bea5960ce825a705ffc02ff44a1bbeb2cb2b9e23c7cf8982
BA016118,THE_TESALIA_30001,UN,12,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,7fc71d6c5b946529d22bfc11f85eaabe97584a4401ab79c70a1b019adba84365
BA020299,TROPICAL FRESH_68111,PAL,0.00909090909090909,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,827c5a4fde2638fbb1ca64c6def6521d1db76b6b718b29b306cdd4ac73e30790
BA019833,BIG EASY BUCHA_67625,CJE,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,2d6c8c9f25972fc6ce05fbe4b8f8753c101de9704adc34d038211c7ffdd2caa2
BA024230,BCS INTERNATIONAL CORP_68537,CJE,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,719dedae755bc02b068d9a47d712f1bbf432f74a6eaff4890440cf151b68071a
BA000130,THE_TESALIA_30001,CJE,0.25,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,169346f9b1a2a08fa197cceaa62b2a70f9be988309fd59c3e7b0823ceb77531a
BA000027,THE_TESALIA_30001,UN,12,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,6d3a3ab2707bce3dc8295606e661c102522213d4c6c7c51229f0f0e6cc19ea12
BA022987,THE_TESALIA_30001,CS,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,935cd2794bbe828562e04d82459cbac1cb311ae7aec8bd9ef8bf0e7ceb2ecc09
BA013134,THE_TESALIA_30001,CJE,0.5,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,422dac444e9d8fbddb9e0c48c0ef067d2a2a0049dded9d12428415e1eca68219
BA004229,CBC_PERUANA_66339,PAL,0.013888888888888888,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,b087f0bc0d8710eb891da6ed7f9473fc093408e449dd8b8af8f2a0ac96790337
BA001143,THE_TESALIA_30001,CS,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,20cb060672cb02062138a0b1c490a58af28ba22a4f09b9878e57d7ea352e8f0f
AA123362,EMBOTELLADORA_LA_MARIPOSA_66328,CJE,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,1ba2ba1a6edcf657bc359d601e7b4b64956d02edb5869d55d7d749e13fa033b7
BA023593,EMBOTELLADORA_LA_REYNA_66332,PAL,0.1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,3c876e1d56cc005e58638fb6b6ebc8de0cddd1e869398eedf5e43e9c5b5df29e
BA026384,UNIDEX_68195,UN,24,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,e2bc51ddcb994c543fb47f82869d511fac72f1dea6d4d6993e921e31f6240a7b
