material,id_producing_plant,cod_cliente,tipo_costo,mes,valor,year,integration_id,record_key_hash,execution_id,create_timestamp,last_updated_timestamp
BA022906,SP00,66274,PRODUCTION FEE,6,1.37,2026,BA022906~SP00~66274~PRODUCTION FEE~2026~6,68e359c2b9321eb29c6bba05fae45bb9f1067b3e991c7e0a8c66b98720f2b2e6,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA020758,SP00,66274,ESCENARIOS,2,0,2026,BA020758~SP00~66274~ESCENARIOS~2026~2,543d46c38dc45608e581c54888792f5c6510a9647d07e18dae77f63950af45c1,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
AA285202,SP00,2067820,FREIGHT,12,0.5585789871504157,2026,AA285202~SP00~2067820~FREIGHT~2026~12,aca35ba8535f3fcf7fe33f4d7675d952a55dc9e7c15d24d92a1a0e0a0db1394d,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
AA251209,SP00,2067820,RAW MATERIALS,5,4.00025746279994,2026,AA251209~SP00~2067820~RAW MATERIALS~2026~5,c3164b30fc8b5faa7d3256489db0a549279d586f12ffe520b3cf90e4a6a7ac6f,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA004904,SP00,66274,ESCENARIOS,11,0,2026,BA004904~SP00~66274~ESCENARIOS~2026~11,c739f17ec9c1585ed498ef62dc473d515a9514a3775f5ca5eee343037335fe4a,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA004887,SP00,66274,ESCENARIOS,8,0,2026,BA004887~SP00~66274~ESCENARIOS~2026~8,467d9fe23cdbd3f321af3cc2c0915c622bea6419889f5c3cd276b44c506df8c2,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
AA780392,100010426,66313,FREIGHT,12,1.1653439153439153,2026,AA780392~100010426~66313~FREIGHT~2026~12,1944e780dcaa05c2ee2b2fa2ccf59a23776d41128335c87d256f9d37d13916b7,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA005740,SP00,2108340,ESCENARIOS,2,0,2026,BA005740~SP00~2108340~ESCENARIOS~2026~2,34b741ad85ae5e4cae1db983ca84ab0178bda94d8d371a5ecdb3b56eafb90120,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA022912,SP00,66274,FREIGHT,6,1.0532760243558374,2026,BA022912~SP00~66274~FREIGHT~2026~6,b12aca339372f56ecd15847adea25f8786fa115e120f4f0375c5b0a37a55de31,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA022912,SP00,66274,STRATEGIC MATERIALS,4,0.8103515662277653,2026,BA022912~SP00~66274~STRATEGIC MATERIALS~2026~4,83610fe5632adc2cab32d7e94db98d99ef5a56a21942e60218ecc9b4808d1eaa,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA011726,GP00,2108340,ESCENARIOS,8,0,2026,BA011726~GP00~2108340~ESCENARIOS~2026~8,66b61ec6914f2557857c967920d27cd3c0d8665c9a2e9d0a92046950fc16abbe,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA005740,SP00,2108340,PRODUCTION FEE,12,1.13,2026,BA005740~SP00~2108340~PRODUCTION FEE~2026~12,799930d09ab8cb5f90b3a8c4b83614ebae674b8ca8f9fffaf6a5b7adf9c9cab4,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
AA780392,100010426,66303,FREIGHT,4,1.25,2026,AA780392~100010426~66303~FREIGHT~2026~4,14f2e4ed81c295b3cc4347d74bddd5347eff22ad8975095310e526474ab89703,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA004904,SP00,66274,STRATEGIC MATERIALS,10,1.0962855692651623,2026,BA004904~SP00~66274~STRATEGIC MATERIALS~2026~10,2b97ad2ecade1928eb70d82a113f507639d122b1d6cda2ce4ebbb8903a0cd5e5,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA020187,SP00,2108340,PRODUCTION FEE,7,1.28,2026,BA020187~SP00~2108340~PRODUCTION FEE~2026~7,e82c66a5375f14890a54491e2f66016a7dda29475452c7df405a636603205a11,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA004897,SP00,66274,RAW MATERIALS,6,3.1932591622390047,2026,BA004897~SP00~66274~RAW MATERIALS~2026~6,85ad278bda5988108a57c85275c2270946bea44632cc63dd7c68d7d335bf8463,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
AA577392,100011123,66309,FREIGHT,7,0,2026,AA577392~100011123~66309~FREIGHT~2026~7,05ebdfcaf29ca66255abbe601f100e50b19ca82901c1823b71de3d0f2afec674,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
AA781600,100010426,66303,ESCENARIOS,1,0,2026,AA781600~100010426~66303~ESCENARIOS~2026~1,37302d8088160c4d226202d27318c5274d72ce0821675bcf87a9a918438c2875,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
