workflow_id,workflow_name,task_name,env,version,params_json,checksum,is_current,valid_from,valid_to
413980071138470,wf_silver_bill_of_material,load_silver_bill_of_material,prd,1,"{""target_table"":""beliv_prd.synexis.silver_bill_of_material"",""sku_producing_plant"":""beliv_prd.synexis.silver_sku_producing_plant""}",null,true,null,null
369879114650088,wf_silver_synaxis_cost_per_unit,load_silver_synaxis_cost_per_unit,prd,1,"{""target_table"":""beliv_prd.synexis.silver_synaxis_cost_per_unit""}",null,true,null,null
144565782081875,wf_silver_sku_producing_plant,load_silver_sku_producing_plant,prd,1,"{""target_table"":""beliv_prd.synexis.silver_sku_producing_plant"",""bronze_sku_prod_plant"":""beliv_prd.synexis.bronze_sku_producing_plant""}",null,true,null,null
425321075380446,wf_silver_inventory_policy,load_silver_inventory_policy,prd,1,"{""target_table"":""beliv_prd.synexis.silver_inventory_policy""}",null,true,null,null
89887975457139,wf_silver_id_pricing,load_silver_id_pricing,prd,1,"{""target_table"":""beliv_prd.synexis.silver_id_pricing""}",null,true,null,null
281082614366039,wf_silver_initial_inventory,load_silver_initial_inventory,prd,1,"{""target_table"":""beliv_prd.synexis.silver_initial_inventory""}",null,true,null,null
286895381596248,wf_silver_calendar,load_silver_calendar,prd,1,"{""target_table"":""beliv_prd.synexis.silver_calendar""}",null,true,null,null
775632455910372,wf_gold_part_source_buy,load_gold_part_source_buy,prd,1,"{""table_name"":""beliv_prd.synexis.silver_masterplan_procurement"",""target_table"":""beliv_prd.synexis.gold_part_source_buy"",""sku_table"":""beliv_prd.synexis.bronze_sku_producing_plant"",""part_table"":""beliv_prd.synexis.gold_part_master"",""bom_table"":""beliv_prd.synexis.silver_bill_of_material""}",null,true,null,null
1050005173895920,wf_gold_part_supplier_mapping,load_gold_part_supplier_mapping,prd,1,"{""table_name"":""beliv_prd.synexis.silver_masterplan_procurement"",""target_table"":""beliv_prd.synexis.gold_part_supplier_mapping"",""sku_table"":""beliv_prd.synexis.bronze_sku_producing_plant"",""bom_table"":""beliv_prd.synexis.silver_bill_of_material"",""part_table"":""beliv_prd.synexis.gold_part_master""}",null,true,null,null
483946622815596,wf_gold_ScheduledReceiptRequisition,load_gold_ScheduledReceiptRequisition,prd,1,"{""table_name"":""beliv_prd.synexis.silver_schedule_receipt_requisition"",""target_table"":""beliv_prd.synexis.gold_scheduled_receipt_requisition"",""part_table"":""beliv_prd.synexis.gold_part_master"",""pricing_table"":""beliv_prd.synexis.silver_id_pricing""}",null,true,null,null
471603129664655,wf_gold_supplier,load_gold_supplier,prd,1,"{""table_name"":""beliv_prd.synexis.silver_masterplan_procurement"",""target_table"":""beliv_prd.synexis.gold_supplier"",""sku_table"":""beliv_prd.synexis.bronze_sku_producing_plant"",""part_table"":""beliv_prd.synexis.gold_part_master""}",null,true,null,null
540033879836015,wf_gold_historical_demand_actual,load_gold_historical_demand_actual,prd,1,"{""target_table"":""beliv_prd.synexis.gold_historical_demand_actual"",""tbl_part"":""beliv_prd.synexis.gold_part_master""}",null,true,null,null
295086190266254,wf_bronze_sku_producing_plant,load_bronze_sku_producing_plant,prd,1,"{""target_table"":""beliv_prd.synexis.bronze_sku_producing_plant""}",null,true,null,null
69188372220224,wf_gold_onhand,load_gold_onhand,prd,1,"{""target_table"":""beliv_prd.synexis.gold_onhand"",""gold_part_master"":""beliv_prd.synexis.gold_part_master"",""silver_initial_inventory"":""beliv_prd.synexis.silver_initial_inventory""}",null,true,null,null
