batch_execution_id,batch_name,start_time,end_time,status,total_workflows,successful_workflows,failed_workflows,skipped_workflows,error_message,last_updated_at,executed_workflows
BATCH_20260127_014314_b0cbac,Monthly Databricks Batch - Synexis,2026-01-27T01:43:14.761Z,2026-01-27T02:02:56.907Z,Success,15,15,0,0,null,2026-01-27T02:02:39.040Z,null
BATCH_20260127_012313_d25089,Daily Databricks Batch - Synexis,2026-01-27T01:23:13.910Z,2026-01-27T01:41:13.503Z,Success,20,20,0,0,null,2026-01-27T01:40:45.919Z,null
BATCH_20260127_010035_65d363,Monthly Databricks Batch - Synexis,2026-01-27T01:00:35.247Z,2026-01-27T01:08:29.243Z,Success,6,6,0,0,null,2026-01-27T01:08:12.142Z,null
BATCH_20260127_000013_04e1a4,Daily Databricks Batch - Synexis,2026-01-27T00:00:13.258Z,2026-01-27T00:21:09.510Z,Success,11,11,0,0,null,2026-01-27T00:20:49.010Z,null
BATCH_20260126_010032_28e74b,Monthly Databricks Batch - Synexis,2026-01-26T01:00:32.522Z,2026-01-26T01:09:23.178Z,Failed,15,0,2,0,Layer 'SILVER' failed: Layer SILVER (index 0) failed with 2 failed workflows out of 2 total workflows. Stopping batch execution due to fail-fast policy.,2026-01-26T01:09:14.724Z,null
BATCH_20260126_000028_498ac0,Daily Databricks Batch - Synexis,2026-01-26T00:00:28.649Z,2026-01-26T00:12:45.750Z,Failed,20,0,3,0,Layer 'BRONZE' failed: Layer BRONZE (index 0) failed with 3 failed workflows out of 3 total workflows. Stopping batch execution due to fail-fast policy.,2026-01-26T00:12:35.021Z,null
BATCH_20260123_020052_2f3d03,Daily Databricks Batch - Synexis,2026-01-23T02:00:54.132Z,2026-01-23T02:20:29.805Z,Success,12,12,0,0,null,2026-01-23T02:20:02.542Z,null
BATCH_20260122_233209_8016c0,Monthly Databricks Batch - Synexis,2026-01-22T23:32:09.206Z,2026-01-22T23:57:57.597Z,Success,15,15,0,0,null,2026-01-22T23:57:41.243Z,null
BATCH_20260122_200052_0a5cb3,Monthly Databricks Batch - Synexis,2026-01-22T20:00:52.956Z,2026-01-22T20:27:34.597Z,Failed,13,12,0,0,Layer 'GOLD_TXN' failed: Layer GOLD_TXN (index 1) failed with 1 failed workflows out of 9 total workflows. Stopping batch execution due to fail-fast policy.,2026-01-22T20:26:18.546Z,null
BATCH_20260122_045032_fc5170,Monthly Databricks Batch - Synexis,2026-01-22T04:50:32.389Z,2026-01-22T05:07:56.390Z,Success,13,14,0,0,null,2026-01-22T05:07:32.529Z,null
