material,id_producing_plant,cod_cliente,tipo_costo,mes,year,valor,integration_id,record_key_hash,execution_id,create_timestamp,last_updated_timestamp
AA760600,100011087,66384,RAW MATERIALS,7,2026,0,AA760600~100011087~66384~RAW MATERIALS~2026~7,35815004ad7d754927447cbe80f104e26a1bacd3bd00d5cc6eee8e0d9af82357,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
AA034050,GP00,66332,STRATEGIC MATERIALS,7,2026,0,AA034050~GP00~66332~STRATEGIC MATERIALS~2026~7,50eb456ebc6d8fe74dabb2d22c2ffd27a3c912e5828eafa5caaa405bdc446529,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA000772,400000105,30001,ESCENARIOS,3,2026,0,BA000772~400000105~30001~ESCENARIOS~2026~3,3b96410d70ff10d0682af922f5ca3ae85c7a5996eb4e46008ae2dcd7272281ab,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA012769,400000105,30001,ESCENARIOS,9,2026,0,BA012769~400000105~30001~ESCENARIOS~2026~9,2ae2feb24858c8f18fe4a5d66d1984d13af1d97c9634eee53a9b3f57b1201760,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA011190,SP00,2108340,RAW MATERIALS,6,2026,2.650837455565958,BA011190~SP00~2108340~RAW MATERIALS~2026~6,e00dbddae7beea894d19f364a11ec4760185767f235e37c4d30bb3e49a08c555,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA021653,400000105,30001,STRATEGIC MATERIALS,6,2026,0,BA021653~400000105~30001~STRATEGIC MATERIALS~2026~6,cc1f7c096f7990500b044f6c02048c632422d6510539001634b82e312e4b9549,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
AA760601,J001,66402,RAW MATERIALS,10,2026,7.016979197443176,AA760601~J001~66402~RAW MATERIALS~2026~10,cf567d2cc5e9c335eb16a44de23333f3d1dfd86a3cec25b5a43b685026758e9b,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
AA004155,SP00,2060885,ESCENARIOS,7,2026,0,AA004155~SP00~2060885~ESCENARIOS~2026~7,9d3770a0c9e068ac0af0cb91d9b6b3207adb8841178f8f7471c62ea4f7094b23,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA007451,SP00,66378,FREIGHT,12,2026,2.474285714285714,BA007451~SP00~66378~FREIGHT~2026~12,0f31b0e9b3b55ce21f2ded4985763663260afd7ece765ea7f14da0b6e0eeb069,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
AA819392,J001,66402,RAW MATERIALS,12,2026,6.75,AA819392~J001~66402~RAW MATERIALS~2026~12,d82dfeca14ead341f449e62cbd73366e93e7aadd9b295b41a94e262cf87ad766,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
