header_category,header_customer,header_part_name,header_site,date,header_customer_name,quantity,unit_price,currency,SellIN_Flag,integration_id,record_key_hash,batch_id,execution_id,create_timestamp,last_updated_timestamp
Shipments,66301,AA780392,IBERIA_FOODS_FL_66301,20260116,IBERIA_FOODS_FL,1440.01,14.61,USD,Y,7a168e98ca3695bb4c25224511adbf3ff64b76ea63699dc065fa64bdb053694b,7a168e98ca3695bb4c25224511adbf3ff64b76ea63699dc065fa64bdb053694b,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66385,BA026384,REFRESCO_66385,20260121,REFRESCO,694.91,0.00,USD,Y,3e1e7d7f0fd5afefa5d22d61fb987467e8c00b1a6f57d440bf7ebcd02ee14624,3e1e7d7f0fd5afefa5d22d61fb987467e8c00b1a6f57d440bf7ebcd02ee14624,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,2064553,AA286202,SAN_RAFAEL_2064553,20260213,SAN_RAFAEL,4158.03,0.00,USD,Y,5e0c3e4eb2c65ef1650fb0362ef65ec78e87c2d6c64d47ae3b32c8f3efff52fe,5e0c3e4eb2c65ef1650fb0362ef65ec78e87c2d6c64d47ae3b32c8f3efff52fe,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66385,BA019772,REFRESCO_66385,20260219,REFRESCO,7431.59,0.00,USD,Y,e200f4de79bbb9c2fe4535ddb439d1fe6095ffa0fcdc6fe3520d2a740435c646,e200f4de79bbb9c2fe4535ddb439d1fe6095ffa0fcdc6fe3520d2a740435c646,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66402,AA583601,C.E.L._DISTRIBUTORS_66402,20260123,C.E.L._DISTRIBUTORS,280.00,10.70,USD,Y,0620a5c168ef030377d22850966680aece1ddad5247ec839d223e07ed615c053,0620a5c168ef030377d22850966680aece1ddad5247ec839d223e07ed615c053,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,2108340,BA011319,IMPADOEL_2108340,20260216,IMPADOEL,24320.19,4.36,USD,Y,7465c07b99f79b1770106d7a84653353c4e5a0db12ca6bba5fdd58db3f1b127f,7465c07b99f79b1770106d7a84653353c4e5a0db12ca6bba5fdd58db3f1b127f,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66385,BA026385,REFRESCO_66385,20260223,REFRESCO,138.98,0.00,USD,Y,4b6dbb01b46cddd92a4bbe3423a0445c76b497c016ff1ef866debcb71a20704b,4b6dbb01b46cddd92a4bbe3423a0445c76b497c016ff1ef866debcb71a20704b,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66385,AA577601,REFRESCO_66385,20260202,REFRESCO,6701.59,0.00,USD,Y,3393d576daddd7b9d068d9b48cdf735785195403e0b723ea74916d6f8333e90d,3393d576daddd7b9d068d9b48cdf735785195403e0b723ea74916d6f8333e90d,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66385,BA022100,REFRESCO_66385,20260219,REFRESCO,6701.59,0.00,USD,Y,10026d92f5bf7872f042f2242ec7e13d3c22db2b7d0ad7aaa96a255818414869,10026d92f5bf7872f042f2242ec7e13d3c22db2b7d0ad7aaa96a255818414869,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
Shipments,66385,BA022099,REFRESCO_66385,20260120,REFRESCO,6701.59,0.00,USD,Y,5839175e7fc8ac705e6b59bb31c0f15494b15c0070d1b2e22ded39c33be905a3,5839175e7fc8ac705e6b59bb31c0f15494b15c0070d1b2e22ded39c33be905a3,2bc9f4b2-833a-40c0-8862-55fa3b7cc2c4,2be3fbcd-0776-4abd-8836-9c6179d2f7fb,2026-02-25T07:14:11.099Z,2026-02-25T07:14:11.135Z
